"","date","total_confirmed"
"1",2020-01-22,1
"2",2020-01-23,1
"3",2020-01-24,2
"4",2020-01-25,2
"5",2020-01-26,5
"6",2020-01-27,9
"7",2020-01-28,5
"8",2020-01-29,5
"9",2020-01-30,5
"10",2020-01-31,7
"11",2020-02-01,8
"12",2020-02-02,8
"13",2020-02-03,11
"14",2020-02-04,11
"15",2020-02-05,11
"16",2020-02-06,11
"17",2020-02-07,11
"18",2020-02-08,11
"19",2020-02-09,11
"20",2020-02-10,11
"21",2020-02-11,12
"22",2020-02-12,12
"23",2020-02-13,13
"24",2020-02-14,13
"25",2020-02-15,13
"26",2020-02-16,13
"27",2020-02-17,13
"28",2020-02-18,13
"29",2020-02-19,13
"30",2020-02-20,13
"31",2020-02-21,15
"32",2020-02-22,15
"33",2020-02-23,15
"34",2020-02-24,15
"35",2020-02-25,15
"36",2020-02-26,15
"37",2020-02-27,16
"38",2020-02-28,16
"39",2020-02-29,24
"40",2020-03-01,30
"41",2020-03-02,53
"42",2020-03-03,72
"43",2020-03-04,103
"44",2020-03-05,171
"45",2020-03-06,211
"46",2020-03-07,360
"47",2020-03-08,477
"48",2020-03-09,727
"49",2020-03-10,997
"50",2020-03-11,1325
"51",2020-03-12,1713
"52",2020-03-13,2242
"53",2020-03-14,2841
"54",2020-03-15,3643
"55",2020-03-16,4602
"56",2020-03-17,6113
"57",2020-03-18,8997
"58",2020-03-19,13975
"59",2020-03-20,18837
"60",2020-03-21,26184
"61",2020-03-22,33469
"62",2020-03-23,43544
"63",2020-03-24,53552
"64",2020-03-25,68245
"65",2020-03-26,84680
"66",2020-03-27,102291
"67",2020-03-28,122662
"68",2020-03-29,141529
